Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,DStar (Perfect EXAM = 0.0476),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_ry_inGap_13_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_ry_inGap_14_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_ry_inGap_15_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_ry_inGap_16_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_ry_inGap_17_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_ry_inGap_18_.qasm,0.80952381,0.80952381,0.80952381,,,,,,,,,,,,
AddGate_ry_inGap_19_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_ry_inGap_1_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_ry_inGap_20_.qasm,0.238095238,0.238095238,0.238095238,,,,,,,,,,,,
AddGate_ry_inGap_2_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_ry_inGap_3_.qasm,0.80952381,0.80952381,0.80952381,,,,,,,,,,,,
AddGate_ry_inGap_4_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_ry_inGap_5_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_ry_inGap_6_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_ry_inGap_7_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_ry_inGap_8_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_ry_inGap_9_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_rz_inGap_10_.qasm,0.80952381,0.80952381,0.80952381,,RZ ,0.422222222,,,,,0.422222222,,,,
AddGate_rz_inGap_11_.qasm,0.476190476,0.476190476,0.476190476,,,,,,,,,,,,
AddGate_rz_inGap_12_.qasm,0.476190476,0.476190476,0.476190476,,,,,,,,,,,,
AddGate_rz_inGap_13_.qasm,0.285714286,0.285714286,0.285714286,,,,,,,,,,,,
AddGate_rz_inGap_14_.qasm,0.238095238,0.238095238,0.238095238,,,,,,,,,,,,
AddGate_rz_inGap_15_.qasm,0.285714286,0.285714286,0.285714286,,,,,,,,,,,,
AddGate_rz_inGap_1_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_rz_inGap_2_.qasm,0.380952381,0.380952381,0.380952381,,,,,,,,,,,,
AddGate_rz_inGap_3_.qasm,0.380952381,0.380952381,0.380952381,,,,,,,,,,,,
AddGate_rz_inGap_4_.qasm,0.238095238,0.238095238,0.238095238,,,,,,,,,,,,
AddGate_rz_inGap_5_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_rz_inGap_6_.qasm,0.476190476,0.476190476,0.476190476,,,,,,,,,,,,
AddGate_rz_inGap_7_.qasm,0.19047619,0.19047619,0.19047619,,,,,,,,,,,,
AddGate_rz_inGap_8_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_rz_inGap_9_.qasm,0.238095238,0.238095238,0.238095238,,,,,,,,,,,,
AddGate_rzz_inGap_10_.qasm,0.238095238,0.238095238,0.238095238,,RZZ,0.488888889,,,,,0.488888889,,,,
AddGate_rzz_inGap_11_.qasm,0.285714286,0.285714286,0.285714286,,,,,,,,,,,,
AddGate_rzz_inGap_12_.qasm,0.380952381,0.380952381,0.380952381,,,,,,,,,,,,
AddGate_rzz_inGap_13_.qasm,0.904761905,0.904761905,0.904761905,,,,,,,,,,,,
AddGate_rzz_inGap_14_.qasm,0.571428571,0.571428571,0.571428571,,,,,,,,,,,,
AddGate_rzz_inGap_15_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_rzz_inGap_1_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_rzz_inGap_2_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_rzz_inGap_3_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_rzz_inGap_4_.qasm,0.238095238,0.238095238,0.238095238,,,,,,,,,,,,
AddGate_rzz_inGap_5_.qasm,0.19047619,0.19047619,0.19047619,,,,,,,,,,,,
AddGate_rzz_inGap_6_.qasm,0.428571429,0.428571429,0.428571429,,,,,,,,,,,,
AddGate_rzz_inGap_7_.qasm,0.095238095,0.095238095,0.095238095,,,,,,,,,,,,
AddGate_rzz_inGap_8_.qasm,0.428571429,0.428571429,0.428571429,,,,,,,,,,,,
AddGate_rzz_inGap_9_.qasm,0.571428571,0.571428571,0.571428571,,,,,,,,,,,,
AddGate_s_inGap_10_.qasm,0.952380952,0.952380952,0.952380952,,S,0.615873016,,,,,0.615873016,,,,
AddGate_s_inGap_11_.qasm,0.571428571,0.571428571,0.571428571,,,,,,,,,,,,
AddGate_s_inGap_12_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_s_inGap_13_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_s_inGap_14_.qasm,0.952380952,0.952380952,0.952380952,,,,,,,,,,,,
AddGate_s_inGap_15_.qasm,1,1,1,,,,,,,,,,,,
AddGate_s_inGap_1_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_s_inGap_2_.qasm,0.380952381,0.380952381,0.380952381,,,,,,,,,,,,
AddGate_s_inGap_3_.qasm,0.619047619,0.619047619,0.619047619,,,,,,,,,,,,
AddGate_s_inGap_4_.qasm,0.238095238,0.238095238,0.238095238,,,,,,,,,,,,
AddGate_s_inGap_5_.qasm,0.428571429,0.428571429,0.428571429,,,,,,,,,,,,
AddGate_s_inGap_6_.qasm,0.523809524,0.523809524,0.523809524,,,,,,,,,,,,
AddGate_s_inGap_7_.qasm,0.19047619,0.19047619,0.19047619,,,,,,,,,,,,
AddGate_s_inGap_8_.qasm,0.80952381,0.80952381,0.80952381,,,,,,,,,,,,
AddGate_s_inGap_9_.qasm,0.238095238,0.238095238,0.238095238,,,,,,,,,,,,
AddGate_swap_inGap_10_.qasm,0.666666667,0.666666667,0.666666667,,SWAP,0.60952381,,,,,0.60952381,,,,
AddGate_swap_inGap_11_.qasm,0.80952381,0.80952381,0.80952381,,,,,,,,,,,,
AddGate_swap_inGap_12_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_swap_inGap_13_.qasm,1,1,1,,,,,,,,,,,,
AddGate_swap_inGap_14_.qasm,0.19047619,0.19047619,0.19047619,,,,,,,,,,,,
AddGate_swap_inGap_15_.qasm,0.047619048,0.047619048,0.047619048,,,,,,,,,,,,
AddGate_swap_inGap_16_.qasm,0.285714286,0.285714286,0.285714286,,,,,,,,,,,,
AddGate_swap_inGap_17_.qasm,0.380952381,0.380952381,0.380952381,,,,,,,,,,,,
AddGate_swap_inGap_18_.qasm,0.285714286,0.285714286,0.285714286,,,,,,,,,,,,
AddGate_swap_inGap_19_.qasm,0.19047619,0.19047619,0.19047619,,,,,,,,,,,,
AddGate_swap_inGap_1_.qasm,0.952380952,0.952380952,0.952380952,,,,,,,,,,,,
AddGate_swap_inGap_20_.qasm,0.238095238,0.238095238,0.238095238,,,,,,,,,,,,
AddGate_swap_inGap_2_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
